sku_color;sku;old_sku;description;qty_per_box;weight;length;lbs1400;crate_size
CW-5-ASSY;CW-5-ASSY;;COLUMN 5in SQUARE WRAP ASSEMBLY;;;;;
CW-6;CW-6;;COLUMN 6in SQUARE WRAP;;;;;
CW-6-ASSY;CW-6-ASSY;;COLUMN 6in SQUARE WRAP ASSEMBLY;;;;;
CW-7;CW-7;;COLUMN 7in SQUARE WRAP;;;;;
CW-7-ASSY;CW-7-ASSY;;COLUMN 7in SQUARE WRAP ASSEMBLY;;;;;
CW-8;CW-8;;COLUMN 8in SQUARE WRAP;;;;;
CW-8-ASSY;CW-8-ASSY;;COLUMN 8in SQUARE WRAP ASSEMBLY;;;;;
CW-9;CW-9;;COLUMN 9in SQUARE WRAP;;;;;
CW-9-ASSY;CW-9-ASSY;;COLUMN 9in SQUARE WRAP ASSEMBLY;;;;;
DEP5-100QB;;;MALE PLUG ROUND HUSS W/QUICK CONNECT FEMALE BK;;;;;
DEP5-335QB;;;MALE PLUG TYLER W/ QUICK CONNECT FEMALE BK;;;;;
DEP5-500QB;;;MALE PLUG HILL 5 PINS W/ QUICK CONNECT FEMALE BK;;;;;
DEP6-200QB;;;MALE PLUG HUSS W/QUICK CONNECT FEMALE, BLACK;;;;;
DEP7-100QB;DEP7-100QB;;MALE HUSS LED PLUG-1 PIN W/QUICK CONNECT FEMALE, BLACK;;;;;
DEP7-200QB;DEP7-200QB;;MALE HP LED PLUG-4 PIN W/QUICK CONNECT FEMALE, BLACK;;;;;
DFR5-810QB;;;HUSS (T8,T12) SOCKET w/quick connect BLACK;;;;;
DM1006E;DM1006E;;"PTM HILL 29 7/8"" ETCH CLEAR";;;;;
DM1006M GLBK;DM1006M;;"PTM HILL 29 7/8"" MILL FINISH GLBK";;;;;
DM1006M GLWH;DM1006M;;"PTM HILL 29 7/8"" MILL FINISH GLWH";;;;;
DM1008E;;;"PTM HILL 48"" ETCH CLEAR";;;;;
DM1008E144;;;"PTM HILL 144"" ETCH CLEAR";;;;;
DM1008E144 NP;DM1008E144 NP;;"PTM HILL 144"" ETCH CLEAR NO PAINT";;;;;
DM1008M 144 GLBK;DM1008M 144;;"PTM HILL 144"" MILL FINISH GLBK";;;;;
DM1008M GLBK;DM1008M;;"PTM HILL 48"" MILL FINISH GLBK";;;;;
DM1008M GLWH;DM1008M;;"PTM HILL 48"" MILL FINISH GLWH";;;;;
DM1008M-24-ASSY GLWH;DM1008M-24-ASSY;;PTM HILL 23.75in MILL FINISH WITH CLIPS(CUT 1/2 DM1008) GLWH;;;;;
DM1009E;;;"PTM HUSS 48"" POP MEAT ETCH CLEAR";;;;;
DM1009E30;;;"PTM HUSS POP MEAT 30"" ETCH CLEAR";;;;;
DM1009M GLBK;DM1009M;;"PTM HUSS 48"" POP MEAT MILL FINISH GLBK";;;;;
DM1009M30 GLBK;DM1009M30;;"PTM HUSS POP MEAT 29 7/8"" MILL FINISH GLBK";;;;;
DM1009M30 GLWH;DM1009M30;;"PTM HUSS POP MEAT 29 7/8"" MILL FINISH GLWH";;;;;
DM1010E GLBK;DM1010E;;"PTM 4"" x 143 7/8"" (3619.5mm) GLBK";;;;;
DM1010E144;;;"PTM 4"" x 143 7/8"" (3619.5mm) ETCH CLEAR";;;;;
DM1011E;;;"PTM PLEXIS 48"" ETCH CLEAR ANODIZED";;;;;
DM1011M GLBK;DM1011M;;"PTM PLEXIS 48"" MILL FINISH GLBK";;;;;
DM1011M GLWH;DM1011M;;"PTM PLEXIS 48"" MILL FINISH GLWH";;;;;
EDDU81B;EDDU81;;KIT OF 2 POST 81.5H WITH LEVELING LEG AND 2 POST CLIP GLBK;;;;;
EDDU84B;EDDU84;;KIT OF 2 POST 84.5H WITH LEVELING LEG AND 2 POST CLIP GLBK;;;;;
EDHP1-48W F;EDHP1-48W F;;GRAVITY FLOW SHELF FRONT HOOK PIN 48W;;;;;
EDHP1-48W R;EDHP1-48W R;;GRAVITY FLOW SHELF REAR HOOK PIN 48W;;;;;
EDPCLIP-01;;;POST CLIP;;;;;
EDSU81B;EDSU81B;;POST 81.5H WITH LEVELING LEG GLBK;;;;;
EDSU84B;EDSU84B;;POST 84.5H WITH LEVELING LEG GLBK;;;;;
EDULEV-01;EDULEV-01;;LEVELING LEG;;;;;
EP-GF0378 TXPT;EP-GF0378;;END PANEL GAP FILLER 3W X 78H TXPT;;;;;
EP-GF0878 TXPT;EP-GF0878;;END PANEL GAP FILLER 8W X 78H TXPT;;;;;
EP-GF1278 TXPT;EP-GF1278;;END PANEL GAP FILLER 12W X 78H TXPT;;;;;
EP-SL1272 MSS;EP-SL1272;;END PANEL SLEEVE 12 X 72 MSS;;;;;
EP-SL1272 TXPT;EP-SL1272;;END PANEL SLEEVE 12 X 72 TXPT;;;;;
EP-SL1278;EP-SL1278;;END PANEL SLEEVE 12 X 78 ASSEMBLY;;;;;
EP-SL1278 GLBK;EP-SL1278;;END PANEL SLEEVE 12 X 78 GLBK;;;;;
EP-SL1278 MSS;EP-SL1278;;END PANEL SLEEVE 12 X 78 MSS;;;;;
EP-SL1278 TXPT;EP-SL1278;;END PANEL SLEEVE 12 X 78 TXPT;;;;;
EP-SL1478;EP-SL1478;;END PANEL SLEEVE 14 X 78 ASSEMBLY;;;;;
EP-SL1478 MSS;EP-SL1478 MSS;;END PANEL SLEEVE 14 X 78 MSS;;;;;
EP-SL1478 TXPT;EP-SL1478;;END PANEL SLEEVE 14 X 78 TXPT;;;;;
EP-SL1672 MSS;EP-SL1672;;END PANEL SLEEVE 16 X 72 MSS;;;;;
EP-SL1672 TXPT;EP-SL1672;;END PANEL SLEEVE 16 X 72 TXPT;;;;;
EP006;EP006;;END PANEL BX 44.75D X 79.75H X 1.5THK;;;;;
EP006-EP-TXPT;EP006-EP;;END PANEL BX 44.75D X 79.75H X 1.5THK EXTERIOR TXPT;;;;;
EP006-IP-GLBK;EP006-IP;;END PANEL BX 44.75D X 79.75H X 1.5THK INTERIOR GLBK;;;;;
EP007;EP007;;END PANEL BX 44D X 76H X 1.5THK;;;;;
EP007-EP-TXPT;EP007-EP;;END PANEL BX 44D X 76H X 1.5THK EXTERIOR TXPT;;;;;
EP007-IP-MSS;EP007-IP-MSS;;END PANEL BX 44D X 76H X 1.5THK INTERIOR MSS;;;;;
EP008;EP008;;END PANEL BX 45D X 78.5H X 1.5THK;;;;;
EP008-EP TXPT;EP008-EP;;END PANEL BX 45D X 78.5H X 1.5THK EXTERIOR TXPT;;;;;
EP008-IP-MSS;EP008-IP-MSS;;END PANEL BX 45D X 78.5H X 1.5THK INTERIOR MSS;;;;;
EP009;EP009;;END PANEL BX 44D X 78H X 1.5THK;;;;;
EP009-EP-SPSLV;EP009-EP;;END PANEL BX 44D X 78H X 1.5THK EXTERIOR SPSLV;;;;;
EP009-EP-TXBK;EP009-EP;;END PANEL BX 44D X 78H X 1.5THK EXTERIOR TXBK;;;;;
EP009-EP-TXPT;EP009-EP;;END PANEL BX 44D X 78H X 1.5THK EXTERIOR TXPT;;;;;
EP009-IP GLBK;EP009-IP;;END PANEL BX 44D X 78H X 1.5THK INTERIOR GLBK;;;;;
EP009-IP-MSS;EP009-IP-MSS;;END PANEL BX 44D X 78H X 1.5THK INTERIOR MSS;;;;;
EP010;EP010;;END PANEL BX 44D X 73H X 1.5THK;;;;;
EP010-EP-TXPT;EP010-EP;;END PANEL BX 44D X 73H X 1.5THK EXTERIOR TXPT;;;;;
EP010-IP-MSS;EP010-IP-MSS;;END PANEL BX 44D X 73H X 1.5THK INTERIOR MSS;;;;;
EP180-LH;EP180;;END PANEL CTR LH 38.5D X 81.5H X 1.5THK;;;;;
EP180-LH-EP-TXPT;EP180-LH-EP;;END PANEL CTR LH 38.5D X 81.5H X 1.5THK EXTERIOR TXPT;;;;;
EP180-LH-IP-GLBK;EP180-LH-IP;;END PANEL CTR LH 38.5D X 81.5H X 1.5THK INTERIOR GLBK;;;;;
EP180-RH;EP180;;END PANEL CTR RH 38.5D X 81.5H X 1.5THK;;;;;
EP180-RH-EP-TXPT;EP180-RH-EP;;END PANEL CTR RH 38.5D X 81.5H X 1.5THK EXTERIOR TXPT;;;;;
EP180-RH-IP-GLBK;EP180-RH-IP;;END PANEL CTR RH 38.5D X 81.5H X 1.5THK INTERIOR GLBK;;;;;
EP190-LH;EP190;;END PANEL CTR LH 38.25D 47H X 0.75THK;;;;;
EP190-LH-EP-TXPT;EP190-LH-EP;;END PANEL CTR LH 38.25D 47H X 0.75THK EXTERIOR TXPT;;;;;
EP190-LH-IP-MSS;EP190-LH-IP-MSS;;END PANEL CTR LH 38.25D 47H X 0.75THK INTERIOR MSS;;;;;
EP194-LH;EP194;;END PANEL CTR LH 45D X 49H X 1.5THK;;;;;
EP194-LH-EP-TXPT;EP194-LH-EP;;END PANEL CTR LH 45D X 49H X 1.5THK EXTERIOR TXPT;;;;;
EP194-LH-IP MSS;EP194-LH-IP-MSS;;END PANEL CTR LH 45D X 49H X 1.5THK INTERIOR MSS;;;;;
EP318-LH;EP318;;END PANEL CTR LH 45D X 76.5H X 1.5THK;;;;;
EP318-LH-EP TXBK;EP318-LH-EP;;END PANEL CTR LH 45D X 76.5H X 1.5THK EXTERIOR TXBK;;;;;
EP318-LH-IP-MSS;EP318-LH-IP-MSS;;END PANEL CTR LH 45D X 76.5H X 1.5THK INTERIOR MSS;;;;;
EP413-LH;EP413-LH;;END PANEL CTR LH 39W X 42.5H X .75 THK;;;;;
EP413-RH-EP TXPT;EP413-RH-EP;;END PANEL CTR RH 39W X 42.5H X .75 THK EXTERIOR TXPT;;;;;
EP413-RH-IP MSS;EP413-RH-IP MSS;;END PANEL CTR RH 39W X 42.5H X .75 THK INTERIOR MSS;;;;;
EP414;EP414;;END PANEL BX 45D X 87.75H X 1.5THK;;;;;
EP414-EP RTBK;EP414-EP;;END PANEL BX 45D X 87.75H X 1.5THK EXTERIOR RTBK;;;;;
EP414-EP SPSLV;EP414-EP;;END PANEL BX 45D X 87.75H X 1.5THK EXTERIOR SPSLV;;;;;
EP414-IP MSS;EP414-IP MSS;;END PANEL BX 45D X 87.75H X 1.5THK INTERIOR MSS;;;;;
FL DM1008E GLBK;FL DM1008E;;"FL PTM HILL 43"" GLBK";;;;;
FR-SDR502-4F10;FR-SDR502-4F10;;FRAME FOR SDR 4ft X 10in FRONT SHELF;;;;;
FR-SDR502-4F13;FR-SDR502-4F13;;FRAME FOR SDR 4ft X 13in FRONT SHELF;;;;;
FR-SDR502-4R10;FR-SDR502-4R10;;FRAME FOR SDR 4ft X 10in REAR SHELF;;;;;
FRSHF3037W;FRSHF3037;;FRAME FOR SHELF CART 30W X 37D WHITE;;;;;
FWS4827B;FWS4827B;;FLAT WIRE SHELF 48W X 27D GLBK;;;;;
FWSGS4827B;FWSGS4827B;;FWS KIT OF 2 GLIDE SHEETS 22.25W X 24.5D BK;;;;;
FWSPTM48B;FWSPTM48B;;"FWS PTM PLASTIC DOUBLE GRILLED 48W BLACK (CUT AT 44.812"")";;;;;
FXDIV37W;FXDIV37;;FLEX SNAP IN DIVIDER 37D GLWH;;;;;
FXGS3037W;FXGS3037W;;FLEX GLIDE SHEET FOR CART 26.75W X 34.625D WH;;;;;
FXPLX3-30;;;FLEX PLEXI GUARD .188 X 2.875H X 26.75W;;;;;
FXPTM30W;FXPTM30W;;"FLEX PTM PLASTIC DOUBLE GRILLED 30W WH (CUT AT 26.75"")";;;;;
FXSHF3037W-01;FXSHF3037-01;;SHELF FOR FLEX CART 30W X 37D WHITE W/ STANDARD ACCESSORIES;;;;;
H-TRIM-48;H-TRIM-48;;H-TRIM 47.5in;;;;;
HARD121;;;RIVETS TEC 3/16 X 1/8 GRIP 500/BTE;;;;;
HARD144;;;"MED-STRENGHT GR5 STEEL HEX HEAD SCEW 1/4""-20 5/8"" ZC";;;;;
HARD159;;;VIS FLAT VREX M/S ZC 1/4-20X3/4 (2500/BTE);;;;;
HARD17;;;VIS PAN CARR� TEK ZC 8-18X1/2 MOULURE RONDE (7000/BTE);;;;;
HARD173;;;SDS MOD. TRUSS PHIL WASHER TEK ZC 8-18X1/2 **BLACK MAGNI W12;;;;;
HARD187;;;VIS IND HEX WASHER T-S ZC 12X2 (1000/BTE);;;;;
HARD188;;;BOULON CARROSSERIE GR5 ZC 1/4-20 X 2-1/2 (700/BTE);;;;;
HARD201;HARD201;;#8 FLAT HEAD QUADREX SCREW 1 1/4  LONG ZINC PLATED;;;;;
HARD24;;;COLLET EN NYLON NOIR 1/2;;;;;
HARD55;;;ECROU NYLON ZC 1/4-20 (3500/BTE);;;;;
HARD60;;;RONDELLE PLATE F436YZ 1/4;;;;;
HARD61;;;SHELF SLIDER V2 C12L14;;;;;
HC002 BK;;;HONEYCOMB .125 X 1 X 3.5 X 48in BK;;;;;
HC004 BK;;;HONEYCOMB .125 X 1 X 4 X 48in BK;;;;;
HC005 BK;;;HONEYCOMB .125 X 1 X 5.75 X 48in BK;;;;;
HC006 BK;;;HONEYCOMB .250 X 1 X 3.5 X 48in BK;;;;;
HC008 BK;;;HONEYCOMB .250 X 1 X 4.5 X 48in BK;;;;;
HC009 BK;;;HONEYCOMB SLOTTED .250 X 1 X 2.875 X 48in BK;;;;;
HC011 BK;;;HONEYCOMB WEDGE .125 X .5 X 2.375 X 4.5 X 48in W OUT FOAM BK;;;;;
HC012 BK;;;HONEYCOMB WEDGE .125 X 1 X 2 X 5 X 24in BK;;;;;
HC017 BK;;;HONEYCOMB .125 X 1 X 2.5 X 48in BK;;;;;
HC020 BK;;;HONEYCOMB .125 X 1 X 3.5 X 36in BK;;;;;
HC023 BK;;;HONEYCOMB .125 X 1 X 5 X 48in BK;;;;;
HC025 BK;;;HONEYCOMB SLOTTED .250 X 1 X 2.875 X 36in BK;;;;;
HC049 BK;;;HONEYCOMB .125 X 1 X 3 X 48in BK;;;;;
HC058 BK;;;HONEYCOMB .250 X 1 X 2.5 X 48in BK;;;;;
HC060 BK;;;HONEYCOMB .250 X 1 X 3.5 X 36in BK;;;;;
HC061 BK;;;HONEYCOMB WEDGE .125 X 1 .125 X 3 X 48.188in W OUT FOAM BK;;;;;
HC064 BK;;;HONEYCOMB .125 X 1 X 3 X 24in NOTCHED BK;;;;;
HC065 BK;;;HONEYCOMB WEDGE .125 X 1 .125 X 3 X 48.188in W FOAM BK;;;;;
HC066 BK;;;HONEYCOMB SLOTTED .125 X 1 X 3 X 48in BK;;;;;
HC069 BK;;;HONEYCOMB .250 X 1 X 3.25in X 48in BK;;;;;
HC071 BK;;;HONEYCOMB .125 X 1 X 5.75 X 36in BK;;;;;
HC075 BK;;;HONEYCOMB WEDGE .125 X 2.1875in X 2.75in X 1.5in X 48in BK;;;;;
HC083 BK;;;HONEYCOMB WEDGE .250 X 1.94 X 1.9 X .76 X 61in BK;;;;;
HC088 WH;;;HONEYCOMB SLOTTED .125in X 1in X 8.5in X 48in WH;;;;;
"HP 6DMLH 12' 68""";"HP 6DMLH 12' 68""";;"HILL PHOENIX RFD 6DMLH 12' X 68"" EXTERIOR KIT";;;;;
"HP 6DMLH 6' 68""";"HP 6DMLH 6' 68""";;"HILL PHOENIX RFD 6DMLH 6' X 68"" EXTERIOR KIT";;;;;
"HP 6DMLH 8' 68""";"HP 6DMLH 8' 68""";;"HILL PHOENIX RFD 6DMLH 8' X 68"" EXTERIOR KIT";;;;;
HP O3.5UM 12' EXT 4;HP O3.5UM 12' EXT 4;;HILL PHOENIX O3.5UM W/GLASS 12' EXTERIOR KIT (LINE-UP);;;;;
HP O3.5UM 8' EXT 4;HP O3.5UM 8' EXT 4;;HILL PHOENIX O3.5UM W/GLASS 8' EXTERIOR KIT (LINE-UP);;;;;
HP O4UM 6' EXT 1;HP O4UM 6' EXT 1;;HILL PHOENIX O4UM 6' EXTERIOR KIT 1;;;;;
HP O5DM 12' EXT 1;HP O5DM 12' EXT 1;;HILL PHOENIX O5DM 12' SINGLE PANEL EXTERIOR KIT;;;;;
HP O5DM 12' INT;HP O5DM 12' INT;;HILL PHOENIX O5DM 12' INTERIOR KIT;;;;;
HP O5DM 6' EXT 1;HP O5DM 6' EXT 1;;HILL PHOENIX O5DM 6' SINGLE PANEL EXTERIOR KIT;;;;;
HP O5DM 6' EXT 2;HP O5DM 6' EXT 2;;HILL PHOENIX O5DM 6' DOUBLE PANEL EXTERIOR KIT;;;;;
HP O5DM 6' INT;HP O5DM 6' INT;;HILL PHOENIX O5DM 6' INTERIOR KIT;;;;;
HP O5DM 8' EXT 1;HP O5DM 8' EXT 1;;HILL PHOENIX O5DM 8' SINGLE PANEL EXTERIOR KIT;;;;;
HP O5DM 8' EXT 2;HP O5DM 8' EXT 2;;HILL PHOENIX O5DM 8' DOUBLE PANEL EXTERIOR KIT;;;;;
HP O5DM 8' INT;HP O5DM 8' INT;;HILL PHOENIX O5DM 8' INTERIOR KIT;;;;;
HP O5DMNRG 12' EXT 1;HP O5DMNRG 12' EXT 1;;HILL PHOENIX O5DMNRG 12' SINGLE PANEL EXTERIOR KIT 1;;;;;
HP O5DMNRG 12' EXT 3;HP O5DMNRG 12' EXT 3;;HILL PHOENIX O5DMNRG 12' TRIPLE PANEL EXTERIOR KIT;;;;;
HP O5DMNRG 12' EXT 4;HP O5DMNRG 12' EXT 4;;HILL PHOENIX O5DMNRG-SC 12' LOW PROFILE TRIPLE PANEL EXT KIT;;;;;
HP O5DMNRG 12' INT;HP O5DMNRG 12' INT;;HILL PHOENIX O5DMNRG/O5DMNRGSC 12' INTERIOR KIT;;;;;
HP O5DMNRG 8' EXT 1;HP O5DMNRG 8' EXT 1;;HILL PHOENIX O5DMNRG 8' SINGLE PANEL EXTERIOR KIT 1;;;;;
HP O5DMNRG 8' EXT 3;HP O5DMNRG 8' EXT 3;;HILL PHOENIX O5DMNRG 8' TRIPLE PANEL EXTERIOR KIT;;;;;
HP O5DMNRG 8' INT;HP O5DMNRG 8' INT;;HILL PHOENIX O5DMNRG/O5DMNRGSC 8' INTERIOR KIT;;;;;
HP O5DR 12' EXT 3;HP O5DR 12' EXT 3;;HILL PHOENIX O5DR 12' TRIPLE PANEL EXTERIOR KIT 3;;;;;
HP O5DR 12' INT;HP O5DR 12' INT;;HILL PHOENIX O5DR 12' INTERIOR KIT;;;;;
HP O5DR 8' INT;HP O5DR 8' INT;;HILL PHOENIX O5DR 8' INTERIOR KIT;;;;;
HP O5M 12' INT;HP O5M 12' INT;;HILL PHOENIX O5M 12' INTERIOR KIT;;;;;
HP O5M 8' INT;HP O5D 8' INT;;HILL PHOENIX O5M 8' INTERIOR KIT;;;;;
HP O5MNRG 12' EXT 1;HP O5MNRG 12' EXT 1;;HILL PHOENIX O5MNRG 12' TRIPLE PANEL EXTERIOR KIT 1;;;;;
HP O5MNRG 8' EXT 1;HP O5MNRG 8' EXT 1;;HILL PHOENIX O5MNRG 8' TRIPLE PANEL EXTERIOR KIT 1;;;;;
HP OHMH 12' EXT 1;HP OHMH 12' EXT 1;;HILL PHOENIX OHMH 12' DOUBLE EXTERIOR KIT 1;;;;;
HP OHMH 12' INT;HP OHMH 12' INT;;HILL PHOENIX OHMH 12' INTERIOR KIT;;;;;
HP OHMH 8' INT;HP OHMH 8' INT;;HILL PHOENIX OHMH 8' INTERIOR KIT;;;;;
HP OHMHNRGSC 12' EXT;HP OHMHNRGSC 12' EXT;;HILL PHOENIX OHMHNRGSC 12' TRIPLE PANEL EXTERIOR KIT;;;;;
HP ON3EM EXT 2;HP ON3EM EXT 2;;HILL PHOENIX ON3EM END CAP DOUBLE PANEL EXTERIOR KIT 2;;;;;
HP ON3EM EXT 3;HP ON3EM EXT 3;;HILL PHOENIX ON3EM END CAP TRIPLE PANEL EXTERIOR KIT 3;;;;;
HP ON3EM INT;HP ON3EM INT;;HILL PHOENIX ON3EM END CAP INTERIOR KIT;;;;;
HP ON3UM 12ft INT;HP ON3UM 12ft INT;;HILL PHOENIX ON3UM 12ft INTERIOR KIT;;;;;
HP ON3UM 4' EXT 2;HP ON3UM 4' EXT 2;;HILL PHOENIX ON3UM 4' DOUBLE PANEL EXTERIOR KIT 2;;;;;
HP ON3UM 4' INT;HP ON3UM 4' INT;;HILL PHOENIX ON3UM 4' INTERIOR KIT;;;;;
HP ON3UM 6' INT;HP ON3UM 6' INT;;HILL PHOENIX ON3UM 6' INTERIOR KIT;;;;;
HP ON3UM 8' EXT 2;HP ON3UM 8' EXT 2;;HILL PHOENIX ON3UM 8' DOUBLE PANEL EXTERIOR KIT 2;;;;;
HP ON3UM 8' EXT 3;HP ON3UM 8' EXT 3;;HILL PHOENIX ON3UM 8' TRIPLE PANEL EXTERIOR KIT 3;;;;;
HP ON3UM 8' INT;HP ON3UM 8' INT;;HILL PHOENIX ON3UM 8' INTERIOR KIT;;;;;
HP ONRZH 1DRS EXT1;HP ONRZH 1DRS EXT1;;HILL PHOENIX ONRZH 1DR EXTERIOR KIT;;;;;
HP ONRZH 2DR EXT 1;HP ONRZH 2DR EXT 1;;HILL PHOENIX ONRZH 2DR EXTERIOR KIT;;;;;
HP ONRZH 3DR EXT 1;HP ONRZH 3DR EXT 1;;HILL PHOENIX ONRZH 3DR EXTERIOR KIT;;;;;
HP ORZ 4DR INT;HP ORZ 4DR INT;;HILL PHOENIX ORZ 4DR INTERIOR KIT;;;;;
HP ORZ 5DR INT;HP ORZ 5DR INT;;HILL PHOENIX ORZ 5DR INTERIOR KIT;;;;;
HP OWEZV INT;HP OWEZV INT;;HILL PHOENIX OWEZV END CAP INTERIOR KIT;;;;;
HP OWIZV 12' INT;HP OWIZV 12' INT;;HILL PHOENIX OWIZV 12' INTERIOR KIT;;;;;
HP OWIZV 4' EXT 1;HP OWIZV 4' EXT 1;;HILL PHOENIX OWIZV 4' TRIPLE PANEL EXTERIOR KIT 1;;;;;
HP OWIZV 4ft INT;HP OWIZV 4ft INT;;HILL PHOENIX OWIZV 4ft INTERIOR KIT;;;;;
HP OWIZV 8ft INT;HP OWIZV 8ft INT;;HILL PHOENIX OWIZV 8ft INTERIOR KIT;;;;;
HP-BF001-12 GLBK;HP-BF001-12;;HP TOP DUCT 24.625in 12ft GLBK;;;;;
HP-BF001-8 GLBK;HP-BF001-8;;HP TOP DUCT 24.625in 8ft GLBK;;;;;
HP-BF002-12 GLBK;HP-BF002-12;;HP LOWER REAR BAFFLE 12ft GLBK;;;;;
HP-BF002-8 GLBK;HP-BF002-8;;HP LOWER REAR BAFFLE 8ft GLBK;;;;;
HP-BF003-3 GLBK;HP-BF003-3;;HP AIR RETURN GRILL 1.5in 3ft GLBK;;;;;
HP-BF003-4 GLBK;HP-BF003-4;;HP AIR RETURN GRILL 1.5in 4ft GLBK;;;;;
HP-BF004-4 GLBK;HP-BF004-4;;HP AIR RETURN GRILL 6.75in 4ft GLBK;;;;;
HP-BF004-6 GLBK;HP-BF004-6;;HP AIR RETURN GRILL 6.75in 6ft GLBK;;;;;
HP-BF005-12 GLBK;HP-BF005-12;;HP LOWER REAR BAFFLE UNIVERSAL 12ft GLBK;;;;;
HP-BF005-4 GLBK;HP-BF005-4;;HP LOWER REAR BAFFLE UNIVERSAL 4ft GLBK;;;;;
HP-BF005-5 GLBK;HP-BF005-5;;HP LOWER REAR BAFFLE UNIVERSAL 5ft GLBK;;;;;
HP-BF005-6 GLBK;HP-BF005-6;;HP LOWER REAR BAFFLE UNIVERSAL 6ft GLBK;;;;;
HP-BF005-8 GLBK;HP-BF005-8;;HP LOWER REAR BAFFLE UNIVERSAL 8ft GLBK;;;;;
HP-BF006-12 GLBK;HP-BF006-12;;HP TOP DUCT 20in 12ft GLBK;;;;;
HP-BF006-8 GLBK;HP-BF006-8;;HP TOP DUCT 20in 8ft GLBK;;;;;
HP-CN002-12 FLSMB;HP-CN002-12;;HP CANOPY FLAT 12ft FLSMB;;;;;
HP-CN002-12 SMB;HP-CN002-12;;HP CANOPY FLAT 12ft SMB;;;;;
HP-CN002-12 TXPT;HP-CN002-12;HP024;HP CANOPY FLAT 12ft TXPT;57;16.1;144;917.7;146
HP-CN002-12TM TXPT;HP-CN002-12TM;;HP CANOPY 12ft WITH THERMOMETER CUT OUT TXPT;;;;;
HP-CN002-6 SMB;HP-CN002-6;;HP CANOPY FLAT 6ft SMB;;;;;
HP-CN002-6 TXPT;HP-CN002-6;;HP CANOPY FLAT 6ft TXPT;;;;;
HP-CN002-8 FLSMB;HP-CN002-8;;HP CANOPY FLAT 8ft FLSMB;;;;;
HP-CN002-8 SMB;HP-CN002-8;;HP CANOPY FLAT 8ft SMB;;;;;
HP-CN002-8 TXPT;HP-CN002-8;HP034;HP CANOPY FLAT 8ft TXPT;57;10.7;96;609.9;98
HP-CN002-8TM TXPT;HP-CN002-8TM;;HP CANOPY FLAT 8ft WITH THERMOMETER CUT OUT TXPT;;;;;
HP-CN002-SC FLSMB;HP-CN002-SC;;HP CANOPY FLAT SEAM COVER FLSMB;;;;;
HP-CN002-SC SMB;HP-CN002-SC;;HP CANOPY FLAT SEAM COVER SMB;;;;;
HP-CN002-SC TXPT;HP-CN002-SC;HP176;HP CANOPY FLAT SEAM COVER TXPT;1000;0.2;24;200;PETITE
HP-CN003-12 TXPT;HP-CN003-12;;HP CANOPY 12ft FACETED TXPT;;;;;
HP-CN003-8 TXPT;HP-CN003-8;;HP CANOPY 8ft FACETED TXPT;;;;;
HP-CN003-SC TXPT;HP-CN003-SC;;HP CANOPY FACETED SEAM COVER TXPT;;;;;
HP-CN004-6 GLBK;HP-CN004-6;;HP CANOPY 16in REAR SILL 6ft GLBK;;;;;
HP-CN004-6 TXPT;HP-CN004-6;;HP CANOPY 16in REAR SILL 6ft TXPT;;;;;
HP-CN004-SC GLBK;HP-CN004-SC;;HP CANOPY 16in REAR SILL SEAM COVER GLBK;;;;;
HP-CN004-SC TXPT;HP-CN004-SC;;HP CANOPY 16in REAR SILL SEAM COVER TXPT;;;;;
HP-FP001-12 TXPT;HP-FP001-12;HP119;HP UPPER FRONT PANEL 12ft TXPT;46;17.2;144;791.2;146
HP-FP001-6 TXPT;HP-FP001-6;;HP UPPER FRONT PANEL 6ft TXPT;;;;;
HP-FP001-8 TXPT;HP-FP001-8;HP148;HP UPPER FRONT PANEL 8ft TXPT;60;11.5;96;690;98
HP-FP001-EC1 TXPT;HP-FP001-EC1;;HP UPPER FRONT PANEL END CAP 68.5in TXPT;;;;;
HP-FP001-EC2LH TXPT;HP-FP001-EC2LH;;HP LH SIDE UPPER FRONT PANEL 33.75in TXPT;;;;;
HP-FP001-EC2RH TXPT;HP-FP001-EC2RH;;HP RH SIDE UPPER FRONT PANEL 33.75in TXPT;;;;;
HP-FP001-SC TXPT;HP-FP001-SC;HP169;HP UPPER FRONT PANEL SEAM COVER TXPT;500;0.2;24;100;PETITE
HP-FP002-12 TXPT;HP-FP002-12;HP121;HP FRONT PANEL ORIGIN2 CONTOUR 7H 12ft TXPT;140;9.9;144;1386;146
HP-FP002-4 TXPT;HP-FP002-4;;HP FRONT PANEL ORIGIN2 CONTOUR 7H 4ft TXPT;;;;;
HP-FP002-6 TXPT;HP-FP002-6;;HP FRONT PANEL ORIGIN2 CONTOUR 7H 6ft TXPT;;;;;
HP-FP002-8 TXPT;HP-FP002-8;HP147;HP FRONT PANEL ORIGIN2 CONTOUR 7H 8ft TXPT;180;6.6;96;1188;98
HP-FP002-EC2LH TXPT;HP-FP002-EC2LH;;HP FRONT PANEL ORIGIN2 CONTOUR 7H END CAP LH 33.25in TXPT;;;;;
HP-FP002-EC2RH TXPT;HP-FP002-EC2RH;;HP FRONT PANEL ORIGIN2 CONTOUR 7H END CAP RH 33.25in TXPT;;;;;
HP-FP002-EC4 TXPT;HP-FP002-EC4;;HP FRONT PANEL ORIGIN2 CONTOUR 7H END CAP 68in TXPT;;;;;
